location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
23125,3024,,,Red Wolf,Boulevard,,Craighead County,3024 Red Wolf Boulevard,SUITE 1,Jonesboro,Arkansas,72401,AR,"3024 RED WOLF BOULEVARD, SUITE 1, JONESBORO, AR 72401",35.808393,-90.666568,POINT (-90.666568 35.808393),"3024,  Red Wolf Boulevard , Jonesboro, Craighead County, Arkansas, 72401, United States"
23194,4253,,,Crossover,Road,,Washington County,4253 Crossover Road,,Fayetteville,Arkansas,72703,AR,"4253 CROSSOVER ROAD, FAYETTEVILLE, AR 72703",36.1278907600001,-94.11985143,POINT (-94.11985143 36.1278907600001),"4253,  Crossover Road , Fayetteville, Washington County, Arkansas, 72703, United States"
39964,2436,,Highway,95,,,Conway County,2436 Hwy 95,,Hattieville,Arkansas,72063,AR,"2436 HWY 95, HATTIEVILLE, AR 72063",35.328360372067,-92.72970202378735,POINT (-92.72970202378735 35.328360372067),"2436, Highway 95  , Hattieville, Conway County, Arkansas, 72063, United States"
13661,1000,,,Iowa,Street,,White County,1000 Iowa Street,,Beebe,Arkansas,72012,AR,"1000 IOWA STREET, BEEBE, AR 72012",35.07417302500004,-91.89533268199996,POINT (-91.89533268199996 35.07417302500004),"1000,  Iowa Street , Beebe, White County, Arkansas, 72012, United States"
31839,500,North,,3rd,Street,,Woodruff County,500 N 3Rd St,,Augusta,Arkansas,72006,AR,"500 N 3RD ST, AUGUSTA, AR 72006",35.28757661152739,-91.364020882524,POINT (-91.364020882524 35.28757661152739),"500,North  3rd Street , Augusta, Woodruff County, Arkansas, 72006, United States"
39190,2119,,,Valley View,Drive,,Craighead County,2119 Valley View Dr,,Jonesboro,Arkansas,72404,AR,"2119 VALLEY VIEW DR, JONESBORO, AR 72404",35.776038255191914,-90.74014863900508,POINT (-90.74014863900508 35.77603825519191),"2119,  Valley View Drive , Jonesboro, Craighead County, Arkansas, 72404, United States"
15681,1509,North,,Boulder,Avenue,,Pope County,1509 N Boulder Ave,BLDG 200,Russellville,Arkansas,72801,AR,"ADMINISTRATION BLDG 200, 1509 N BOULDER AVE, RUSSELLVILLE, AR 72801",35.29522700000006,-93.13232999999995,POINT (-93.13232999999995 35.29522700000006),"1509,North  Boulder Avenue , Russellville, Pope County, Arkansas, 72801, United States"
23200,6700,,,Chad Colley,Boulevard,,Sebastian County,6700 Chad Colley Boulevard,,Fort Smith,Arkansas,72916,AR,"6700 CHAD COLLEY BOULEVARD, FORT SMITH, AR 72916",35.3194863300001,-94.3167917499999,POINT (-94.31679174999989 35.3194863300001),"6700,  Chad Colley Boulevard , Fort Smith, Sebastian County, Arkansas, 72916, United States"
23036,2650,North,,Wyatt,Drive,,Pima County,2650 North Wyatt Drive,,Tucson,Arizona,85712,AZ,"2650 NORTH WYATT DRIVE, TUCSON, AZ 85712",32.2559568500001,-110.88296381,POINT (-110.88296381 32.2559568500001),"2650,North  Wyatt Drive , Tucson, Pima County, Arizona, 85712, United States"
10629,200,East,,Wilcox,Drive,,Cochise County,200 E Wilcox Dr,,Sierra Vista,Arizona,85635,AZ,"200 E WILCOX DR, SIERRA VISTA, AZ 85635",31.552225999699075,-110.29737200021314,POINT (-110.2973720002131 31.55222599969908),"200,East  Wilcox Drive , Sierra Vista, Cochise County, Arizona, 85635, United States"
6145,6002,East,,Voltaire,Avenue,,Maricopa County,6002 E Voltaire Ave,,Scottsdale,Arizona,85254,AZ,"6002 E VOLTAIRE AVE, SCOTTSDALE, AZ 85254",33.61016799997693,-111.95090100028584,POINT (-111.9509010002858 33.61016799997693),"6002,East  Voltaire Avenue , Scottsdale, Maricopa County, Arizona, 85254, United States"
10341,15501,West,,Ajo,Highway,,Pima County,15501 W Ajo Hwy,,Tucson,Arizona,85735,AZ,"15501 W AJO HWY, TUCSON, AZ 85735",32.082814000049446,-111.29789100013237,POINT (-111.2978910001324 32.08281400004945),"15501,West  Ajo Highway , Tucson, Pima County, Arizona, 85735, United States"
33650,1000,East,,Orme School,Road,,Yavapai County,1000 E Orme School Rd,,Mayer,Arizona,86333,AZ,"1000 E ORME SCHOOL RD, MAYER, AZ 86333",34.43515448396631,-112.06670142308816,POINT (-112.0667014230882 34.43515448396631),"1000,East  Orme School Road , Mayer, Yavapai County, Arizona, 86333, United States"
11763,13613,North,,Main,Street,,Maricopa County,13613 N Main St,APT 508,El Mirage,Arizona,85335,AZ,"13613 N MAIN ST APT 508, EL MIRAGE, AZ 85335",33.607041000219176,-112.31168800006274,POINT (-112.3116880000627 33.60704100021918),"13613,North  Main Street , El Mirage, Maricopa County, Arizona, 85335, United States"
10029,16420,North,,22nd,Street,,Maricopa County,16420 N 22Nd St,,Phoenix,Arizona,85022,AZ,"16420 N 22ND ST, PHOENIX, AZ 85022",33.635559999892806,-112.0351639998123,POINT (-112.0351639998123 33.63555999989281),"16420,North  22nd Street , Phoenix, Maricopa County, Arizona, 85022, United States"
3882,8581,West,,Kelton,Lane,,Maricopa County,8581 W Kelton Ln,STE 203,Peoria,Arizona,85382,AZ,"8581 W KELTON LN STE 203, PEORIA, AZ 85382",33.63537400016227,-112.2455209995895,POINT (-112.2455209995895 33.63537400016227),"8581,West  Kelton Lane , Peoria, Maricopa County, Arizona, 85382, United States"
7326,220,West,,Cherry,Avenue,,Coconino County,220 W Cherry Ave,APT 107,Flagstaff,Arizona,86001,AZ,"220 W CHERRY AVE APT 107, FLAGSTAFF, AZ 86001",35.20130700027799,-111.65090400010176,POINT (-111.6509040001018 35.20130700027799),"220,West  Cherry Avenue , Flagstaff, Coconino County, Arizona, 86001, United States"
10701,17125,North,,28th,Street,,Maricopa County,17125 N 28Th St,,Phoenix,Arizona,85032,AZ,"17125 N 28TH ST, PHOENIX, AZ 85032",33.64260200013119,-112.02215000029004,POINT (-112.02215000029 33.64260200013119),"17125,North  28th Street , Phoenix, Maricopa County, Arizona, 85032, United States"
22993,5880,South,,Hospital,Drive,,Gila County,5880 South Hospital Drive,,Globe,Arizona,85501,AZ,"5880 SOUTH HOSPITAL DRIVE, GLOBE, AZ 85501",33.4060443600001,-110.82640787,POINT (-110.82640787 33.4060443600001),"5880,South  Hospital Drive , Globe, Gila County, Arizona, 85501, United States"
4642,6825,East,,Dorado,Court,,Pima County,6825 E Dorado Ct,,Tucson,Arizona,85715,AZ,"6825 E DORADO CT, TUCSON, AZ 85715",32.236668000141485,-110.84673599985244,POINT (-110.8467359998524 32.23666800014148),"6825,East  Dorado Court , Tucson, Pima County, Arizona, 85715, United States"
10334,770,West,,7th,Street,,Yuma County,770 W 7Th St,,Yuma,Arizona,85364,AZ,"770 W 7TH ST, YUMA, AZ 85364",32.71430800019668,-114.62866099968758,POINT (-114.6286609996876 32.71430800019668),"770,West  7th Street , Yuma, Yuma County, Arizona, 85364, United States"
33856,5680,North,,Maroa,Avenue,,Fresno County,5680 N Maroa Ave,,Fresno,California,93704,CA,"5680 N MAROA AVE, FRESNO, CA 93704",36.82020389891885,-119.79822820574574,POINT (-119.7982282057457 36.82020389891885),"5680,North  Maroa Avenue , Fresno, Fresno County, California, 93704, United States"
34402,148,South,,Linden,Drive,,Los Angeles County,148 S Linden Dr,,Beverly Hills,California,90212,CA,"148 S LINDEN DR, BEVERLY HILLS, CA 90212",34.06576255285388,-118.40700180508244,POINT (-118.4070018050824 34.06576255285388),"148,South  Linden Drive , Beverly Hills, Los Angeles County, California, 90212, United States"
23202,7500,,,Hospital,Drive,,Sacramento County,7500 Hospital Drive,,Sacramento,California,95823,CA,"7500 HOSPITAL DRIVE, SACRAMENTO, CA 95823",38.4635474500001,-121.41652644,POINT (-121.41652644 38.4635474500001),"7500,  Hospital Drive , Sacramento, Sacramento County, California, 95823, United States"
32072,13777,,,Air Expressway,Boulevard,,San Bernardino County,13777 Air Expressway Boulevard,,Victorville,California,92394,CA,"13777 AIR EXPRESSWAY BOULEVARD, VICTORVILLE, CA 92394",34.56511768280535,-117.37056868192276,POINT (-117.3705686819228 34.56511768280535),"13777,  Air Expressway Boulevard , Victorville, San Bernardino County, California, 92394, United States"
32483,4001,,,King,Avenue,,Kings County,4001 King Avenue,,Corcoran,California,93212,CA,"4001 KING AVENUE, CORCORAN, CA 93212",36.06081823743868,-119.54912102576962,POINT (-119.5491210257696 36.06081823743868),"4001,  King Avenue , Corcoran, Kings County, California, 93212, United States"
23308,300,,,Pasteur,Drive,,Santa Clara County,300 Pasteur Dr,,Stanford,California,94305,CA,"300 PASTEUR DR, STANFORD, CA 94305",37.43465244,-122.1748831,POINT (-122.1748831 37.43465244),"300,  Pasteur Drive , Stanford, Santa Clara County, California, 94305, United States"
23460,1710,,,Barton,Road,,San Bernardino County,1710 Barton Rd,,Redlands,California,92373,CA,"1710 BARTON RD, REDLANDS, CA 92373",34.04943883,-117.21408314,POINT (-117.21408314 34.04943883),"1710,  Barton Road , Redlands, San Bernardino County, California, 92373, United States"
23307,700,,,Lawrence,Expressway,,Santa Clara County,700 Lawrence Expy,,Santa Clara,California,95051,CA,"700 LAWRENCE EXPY, SANTA CLARA, CA 95051",37.3354013800001,-121.99887305,POINT (-121.99887305 37.3354013800001),"700,  Lawrence Expressway , Santa Clara, Santa Clara County, California, 95051, United States"
33942,20675,,,La Puente,Road,,Los Angeles County,20675 La Puente Rd,,Walnut,California,91789,CA,"20675 LA PUENTE RD, WALNUT, CA 91789",34.02414463090349,-117.85300909490624,POINT (-117.8530090949062 34.02414463090349),"20675,  La Puente Road , Walnut, Los Angeles County, California, 91789, United States"
34090,1241,South,,Brookhurst,Street,,Orange County,1241 S Brookhurst St,,Anaheim,California,92804,CA,"1241 S BROOKHURST ST, ANAHEIM, CA 92804",33.81559719007462,-117.95924388915228,POINT (-117.9592438891523 33.81559719007462),"1241,South  Brookhurst Street , Anaheim, Orange County, California, 92804, United States"
35005,1101,,,F,Street,,Yolo County,1101 F St,,Davis,California,95616,CA,"1101 F ST, DAVIS, CA 95616",38.55467569834183,-121.74221829102088,POINT (-121.7422182910209 38.55467569834183),"1101,  F Street , Davis, Yolo County, California, 95616, United States"
34116,10101,,,Cunningham,Avenue,,Orange County,10101 Cunningham Ave,,Westminster,California,92683,CA,"10101 CUNNINGHAM AVE, WESTMINSTER, CA 92683",33.739397067189145,-117.95338324789934,POINT (-117.9533832478993 33.73939706718915),"10101,  Cunningham Avenue , Westminster, Orange County, California, 92683, United States"
14087,1516,,,Brookhollow,Drive,,Orange County,1516 Brookhollow Drive,UNIT C,Santa Ana,California,92705,CA,"1516 BROOKHOLLOW DRIVE, UNIT C, SANTA ANA, CA 92705",33.71451815900008,-117.85010069199994,POINT (-117.8501006919999 33.71451815900008),"1516,  Brookhollow Drive , Santa Ana, Orange County, California, 92705, United States"
3161,435,West,,Main,Street,,Pitkin County,435 W Main St,,Aspen,Colorado,81611,CO,"435 W MAIN ST, ASPEN, CO 81611",39.19225400002277,-106.82696699973197,POINT (-106.826966999732 39.19225400002277),"435,West  Main Street , Aspen, Pitkin County, Colorado, 81611, United States"
5493,14401,East,,Exposition,Avenue,,Arapahoe County,14401 E Exposition Ave,,Aurora,Colorado,80012,CO,"14401 E EXPOSITION AVE, AURORA, CO 80012",39.70390799980756,-104.82050099985786,POINT (-104.8205009998579 39.70390799980756),"14401,East  Exposition Avenue , Aurora, Arapahoe County, Colorado, 80012, United States"
18110,28145,,Colorado Highway,74,,,Jefferson County,28145 Colorado Highway 74,,Evergreen,Colorado,80439,CO,"28145 COLORADO HIGHWAY 74, Evergreen, Colorado 80439",39.6328480000001,-105.319696,POINT (-105.319696 39.6328480000001),"28145, Colorado Highway 74  , Evergreen, Jefferson County, Colorado, 80439, United States"
6411,1501,South,,Whitcomb,Street,,Larimer County,1501 S Whitcomb St,,Fort Collins,Colorado,80521,CO,"1501 S WHITCOMB ST, FORT COLLINS, CO 80521",40.56854999974312,-105.08694800018668,POINT (-105.0869480001867 40.56854999974312),"1501,South  Whitcomb Street , Fort Collins, Larimer County, Colorado, 80521, United States"
4400,979,West,,Moorhead,Circle,,Boulder County,979 W Moorhead Cir,APT E,Boulder,Colorado,80305,CO,"979 W MOORHEAD CIR APT E, BOULDER, CO 80305",39.98063299976641,-105.239040000243,POINT (-105.239040000243 39.98063299976641),"979,West  Moorhead Circle , Boulder, Boulder County, Colorado, 80305, United States"
36113,8100,West,,Hampden,Avenue,,Jefferson County,8100 W Hampden Ave,,Denver,Colorado,80227,CO,"8100 W HAMPDEN AVE, DENVER, CO 80227",39.6525590786688,-105.0873294527041,POINT (-105.0873294527041 39.6525590786688),"8100,West  Hampden Avenue , Denver, Jefferson County, Colorado, 80227, United States"
2734,20287,East,,Lake,Lane,,Arapahoe County,20287 E Lake Ln,,Centennial,Colorado,80016,CO,"20287 E LAKE LN, CENTENNIAL, CO 80016",39.60592699996042,-104.75203600019168,POINT (-104.7520360001917 39.60592699996042),"20287,East  Lake Lane , Centennial, Arapahoe County, Colorado, 80016, United States"
2852,9475,,,Grace Church,Vw,,El Paso County,9475 Grace Church Vw,,Falcon,Colorado,80831,CO,"9475 GRACE CHURCH VW, FALCON, CO 80831",38.96274500034086,-104.59509500023287,POINT (-104.5950950002329 38.96274500034086),"9475,  Grace Church Vw , Falcon, El Paso County, Colorado, 80831, United States"
8510,1700,South,,Norfolk,Street,,Arapahoe County,1700 S Norfolk St,,Aurora,Colorado,80017,CO,"1700 S NORFOLK ST, AURORA, CO 80017",39.68548100002995,-104.79613599979656,POINT (-104.7961359997966 39.68548100002995),"1700,South  Norfolk Street , Aurora, Arapahoe County, Colorado, 80017, United States"
8140,12804,,,Fulford,Court,,El Paso County,12804 Fulford Ct,,Colorado Spgs,Colorado,80908,CO,"12804 FULFORD CT, COLORADO SPGS, CO 80908",39.01840899986062,-104.61981599994633,POINT (-104.6198159999463 39.01840899986062),"12804,  Fulford Court , Colorado Spgs, El Paso County, Colorado, 80908, United States"
8566,10150,East,,Belleview,Avenue,,Arapahoe County,10150 E Belleview Ave,,Greenwood Vlg,Colorado,80111,CO,"10150 E BELLEVIEW AVE, GREENWOOD VLG, CO 80111",39.62410300018124,-104.87057300036987,POINT (-104.8705730003699 39.62410300018124),"10150,East  Belleview Avenue , Greenwood Vlg, Arapahoe County, Colorado, 80111, United States"
9002,245,South,,Benton,Street,,Jefferson County,245 S Benton St,,Lakewood,Colorado,80226,CO,"245 S BENTON ST, LAKEWOOD, CO 80226",39.71213100014113,-105.05567700015612,POINT (-105.0556770001561 39.71213100014113),"245,South  Benton Street , Lakewood, Jefferson County, Colorado, 80226, United States"
9145,14506,,,Havana,Street,,Arapahoe County,14506 Havana St,STE 408,Aurora,Colorado,80012,CO,"14506 HAVANA ST STE 408, AURORA, CO 80012",39.731987999862376,-104.86587400025525,POINT (-104.8658740002552 39.73198799986238),"14506,  Havana Street , Aurora, Arapahoe County, Colorado, 80012, United States"
22852,6,,,Front,Street,,Kent County,6 Front Street,,Frederica,Delaware,19946,DE,"6 Front Street, Frederica, DE 19946",39.00893176469383,-75.46517130949373,POINT (-75.46517130949373 39.00893176469383),"6,  Front Street , Frederica, Kent County, Delaware, 19946, United States"
23721,701,North,,Clayton,Street,,New Castle County,701 N Clayton St,,"Fifth Floor, Wilmington",Delaware,19805,DE,"701 N CLAYTON ST, FIFTH FLOOR, WILMINGTON, DE 19805",39.7500297400001,-75.56674041,POINT (-75.56674040999999 39.7500297400001),"701,North  Clayton Street , Fifth Floor, Wilmington, New Castle County, Delaware, 19805, United States"
28032,1,,,Possum Park,Road,,New Castle County,1 Possum Park Rd,,Newark,Delaware,19711,DE,"1 Possum Park Rd, Newark, DE 19711",39.69504200026101,-75.72022399970704,POINT (-75.72022399970704 39.69504200026101),"1,  Possum Park Road , Newark, New Castle County, Delaware, 19711, United States"
22849,110,,,Firehouse,Lane,,Kent County,110 Firehouse Lane,,Marydel,Delaware,19964,DE,"110 Firehouse Lane, Marydel, DE 19964",39.11405487595572,-75.74471460400798,POINT (-75.74471460400798 39.11405487595572),"110,  Firehouse Lane , Marydel, Kent County, Delaware, 19964, United States"
23722,701,North,,Clayton,Street,,New Castle County,701 N Clayton St,,Wilmington,Delaware,19805,DE,"701 N CLAYTON ST, WILMINGTON, DE 19805",39.7498689400001,-75.5668735099999,POINT (-75.56687350999989 39.7498689400001),"701,North  Clayton Street , Wilmington, New Castle County, Delaware, 19805, United States"
22826,1714,,,Porter,Road,,New Castle County,1714 Porter Road,,Bear,Delaware,19701,DE,"1714 Porter Road, Bear, DE 19701",39.59458157471807,-75.69606281750224,POINT (-75.69606281750224 39.59458157471807),"1714,  Porter Road , Bear, New Castle County, Delaware, 19701, United States"
36197,2501,,,Pike Creek,Road,,New Castle County,2501 Pike Creek Rd,,Wilmington,Delaware,19808,DE,"2501 PIKE CREEK RD, WILMINGTON, DE 19808",39.71757860602716,-75.68850063594716,POINT (-75.68850063594716 39.71757860602716),"2501,  Pike Creek Road , Wilmington, New Castle County, Delaware, 19808, United States"
36160,2422,,,Chance,Road,,Kent County,2422 Chance Rd,,Clayton,Delaware,19938,DE,"2422 CHANCE RD, CLAYTON, DE 19938",39.23258767770781,-75.68107854396565,POINT (-75.68107854396565 39.23258767770781),"2422,  Chance Road , Clayton, Kent County, Delaware, 19938, United States"
36194,905,North,,Broom,Street,,New Castle County,905 N Broom St,,Wilmington,Delaware,19806,DE,"905 N BROOM ST, WILMINGTON, DE 19806",39.7513859238904,-75.56296222483502,POINT (-75.56296222483502 39.7513859238904),"905,North  Broom Street , Wilmington, New Castle County, Delaware, 19806, United States"
28018,300,,,Foulk,Road,,New Castle County,300 Foulk Rd,,Wilmington,Delaware,19803,DE,"300 Foulk Rd, Wilmington, DE 19803",39.780966000239054,-75.54041900008508,POINT (-75.54041900008508 39.78096600023905),"300,  Foulk Road , Wilmington, New Castle County, Delaware, 19803, United States"
36198,1390,,,Red Lion,Road,,New Castle County,1390 Red Lion Rd,,Bear,Delaware,19701,DE,"1390 RED LION RD, BEAR, DE 19701",39.59727357332514,-75.67123449067194,POINT (-75.67123449067194 39.59727357332514),"1390,  Red Lion Road , Bear, New Castle County, Delaware, 19701, United States"
13370,800,North,,King,Street,,New Castle County,800 North King Street,SUITE 101,Wilmington,Delaware,19801,DE,"800 NORTH KING STREET SUITE 101, WILMINGTON, DE 19801",39.68612671100004,-75.66009323499996,POINT (-75.66009323499996 39.68612671100004),"800,North  King Street , Wilmington, New Castle County, Delaware, 19801, United States"
36191,700,North,,Walnut,Street,,New Castle County,700 N Walnut St,,Wilmington,Delaware,19801,DE,"700 N WALNUT ST, WILMINGTON, DE 19801",39.741618267961776,-75.54672971795664,POINT (-75.54672971795664 39.74161826796178),"700,North  Walnut Street , Wilmington, New Castle County, Delaware, 19801, United States"
39935,76,,,Mid Cape,Terrace,,Lee County,76 Mid Cape Ter,,Cape Coral,Florida,33991,FL,"76 MID CAPE TER, CAPE CORAL, FL 33991",26.645268013125023,-81.97696108264458,POINT (-81.97696108264458 26.64526801312502),"76,  Mid Cape Terrace , Cape Coral, Lee County, Florida, 33991, United States"
36387,807,North,,Flagler,Drive,,Palm Beach County,807 N Flagler Dr,,West Palm Beach,Florida,33401,FL,"807 N FLAGLER DR, WEST PALM BEACH, FL 33401",26.721051922013643,-80.04953581083437,POINT (-80.04953581083437 26.72105192201364),"807,North  Flagler Drive , West Palm Beach, Palm Beach County, Florida, 33401, United States"
35158,2600,Southwest,,42nd,Street,,Marion County,2600 Sw 42Nd St,,Ocala,Florida,34471,FL,"2600 SW 42ND ST, OCALA, FL 34471",29.145164815212112,-82.1676770933693,POINT (-82.16767709336931 29.14516481521211),"2600,Southwest  42nd Street , Ocala, Marion County, Florida, 34471, United States"
36403,11501,,,66th,Avenue,,Pinellas County,11501 66Th Ave,,Seminole,Florida,33772,FL,"11501 66TH AVE, SEMINOLE, FL 33772",27.83301197271762,-82.79872975628936,POINT (-82.79872975628936 27.83301197271762),"11501,  66th Avenue , Seminole, Pinellas County, Florida, 33772, United States"
35110,12925,,,Palm Beach,Boulevard,,Lee County,12925 Palm Beach Blvd,,Fort Myers,Florida,33905,FL,"12925 PALM BEACH BLVD, FORT MYERS, FL 33905",26.703145211825195,-81.74562349192723,POINT (-81.74562349192723 26.70314521182519),"12925,  Palm Beach Boulevard , Fort Myers, Lee County, Florida, 33905, United States"
23920,2201,,,45th,Street,,Palm Beach County,2201 45Th St,,West Palm Beach,Florida,33407,FL,"2201 45TH ST, WEST PALM BEACH, FL 33407",26.7613235900001,-80.08787269,POINT (-80.08787269 26.7613235900001),"2201,  45th Street , West Palm Beach, Palm Beach County, Florida, 33407, United States"
36283,1200,South,,Flamingo,Road,,Broward County,1200 S Flamingo Rd,,Davie,Florida,33325,FL,"1200 S FLAMINGO RD, DAVIE, FL 33325",26.104601563714404,-80.31186289113184,POINT (-80.31186289113184 26.1046015637144),"1200,South  Flamingo Road , Davie, Broward County, Florida, 33325, United States"
31075,3222,,,Doc Whitfield,Road,,Gulf County,3222 Doc Whitfield Rd,,White City,Florida,32465,FL,"3222 DOC WHITFIELD RD, WHITE CITY, FL 32465",29.90858011466702,-85.13757189037435,POINT (-85.13757189037435 29.90858011466702),"3222,  Doc Whitfield Road , White City, Gulf County, Florida, 32465, United States"
36411,1857,,,Curlew,Road,,Pinellas County,1857 Curlew Rd,,Palm Harbor,Florida,34683,FL,"1857 CURLEW RD, PALM HARBOR, FL 34683",28.049426712877725,-82.75141703088549,POINT (-82.75141703088549 28.04942671287773),"1857,  Curlew Road , Palm Harbor, Pinellas County, Florida, 34683, United States"
23741,1381,South,,Patrick,Drive,,Brevard County,1381 S Patrick Drive,,Patrick Afb,Florida,32925,FL,"1381 S PATRICK DRIVE, PATRICK AFB, FL 32925",28.2143606700001,-80.60448955,POINT (-80.60448955 28.2143606700001),"1381,South  Patrick Drive , Patrick Afb, Brevard County, Florida, 32925, United States"
