location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
3617,904,,,8th,Avenue,Southeast,Morton County,904 8Th Ave Se,,Mandan,North Dakota,58554,ND,"904 8TH AVE SE, MANDAN, ND 58554",46.81611400026543,-100.8799160001059,POINT (-100.8799160001059 46.81611400026543),"904,  8th Avenue Southeast, Mandan, Morton County, North Dakota, 58554, United States",1.0,0,0,0
4612,802,,Avenue,C,,,Cass County,802 Avenue C,,Plattsmouth,Nebraska,68048,NE,"802 AVENUE C, PLATTSMOUTH, NE 68048",41.01431900032713,-95.88875699964116,POINT (-95.88875699964116 41.01431900032713),"802, Avenue C  , Plattsmouth, Cass County, Nebraska, 68048, United States",2.0,0,0,0
43827,1725,,,13th,Street,,Scotts Bluff County,1725 13Th Street,,Gering,Nebraska,69341,NE,"1725 13TH STREET, GERING, NE 69341",41.82643856974255,-103.66518979798724,POINT (-103.6651897979872 41.82643856974255),"1725,  13th Street , Gering, Scotts Bluff County, Nebraska, 69341, United States",4.0,1,0,0
3415,14985,,,Himebaugh,Avenue,,Douglas County,14985 Himebaugh Ave,,Omaha,Nebraska,68116,NE,"14985 HIMEBAUGH AVE, OMAHA, NE 68116",41.310887999960414,-96.14925399970244,POINT (-96.14925399970244 41.31088799996041),"14985,  Himebaugh Avenue , Omaha, Douglas County, Nebraska, 68116, United States",1.0,0,0,0
35285,400,,,State,Street,,Rock County,400 State Street,,Bassett,Nebraska,68714,NE,"400 STATE STREET, BASSETT, NE 68714",42.58264848740578,-99.53607554675158,POINT (-99.53607554675158 42.58264848740578),"400,  State Street , Bassett, Rock County, Nebraska, 68714, United States",10.0,1,0,0
21529,3900,,,Pine Lake,Road,,Lancaster County,3900 Pine Lake Rd,,Lincoln,Nebraska,68516,NE,"3900 PINE LAKE RD, Lincoln, Nebraska 68516",40.7409380000001,-96.6655519999999,POINT (-96.66555199999991 40.7409380000001),"3900,  Pine Lake Road , Lincoln, Lancaster County, Nebraska, 68516, United States",1.0,0,0,0
4851,3071,,,P,Road,,Butler County,3071 P Rd,,David City,Nebraska,68632,NE,"3071 P RD, DAVID CITY, NE 68632",41.1884100000187,-97.08168799989708,POINT (-97.08168799989708 41.1884100000187),"3071,  P Road , David City, Butler County, Nebraska, 68632, United States",10.0,1,0,0
4372,8951,,County Road,9,,,Washington County,8951 County Road 9,,Arlington,Nebraska,68002,NE,"8951 COUNTY ROAD 9, ARLINGTON, NE 68002",41.51641900015588,-96.36715599985664,POINT (-96.36715599985664 41.51641900015588),"8951, County Road 9  , Arlington, Washington County, Nebraska, 68002, United States",2.0,0,0,0
19573,423,,,Grand,Avenue,,Buffalo County,423 Grand Avenue,,Ravenna,Nebraska,68869,NE,"423 Grand Avenue, Ravenna, Nebraska 68869",41.026554,-98.912671,POINT (-98.912671 41.026554),"423,  Grand Avenue , Ravenna, Buffalo County, Nebraska, 68869, United States",10.0,1,0,0
21418,309,South,,Robinson,Avenue,,Cedar County,309 S Robinson Ave,,Fordyce,Nebraska,68736,NE,"309 S ROBINSON AVE, Fordyce, Nebraska 68736",42.6186900000001,-97.2693379999999,POINT (-97.26933799999991 42.6186900000001),"309,South  Robinson Avenue , Fordyce, Cedar County, Nebraska, 68736, United States",10.0,1,0,0
4369,8701,,,Adams,Street,,Lancaster County,8701 Adams St,,Lincoln,Nebraska,68507,NE,"8701 ADAMS ST, LINCOLN, NE 68507",40.842512999921816,-96.60070199988536,POINT (-96.60070199988536 40.84251299992182),"8701,  Adams Street , Lincoln, Lancaster County, Nebraska, 68507, United States",1.0,0,0,0
28683,102,East,,South,Street,,Rock County,102 East South Street,,Bassett,Nebraska,68714,NE,"102 EAST SOUTH STREET, BASSETT, NE 68714",42.57538377,-99.53709135,POINT (-99.53709135 42.57538377),"102,East  South Street , Bassett, Rock County, Nebraska, 68714, United States",10.0,1,0,0
629,36,,,Winnacunnet,Road,,Rockingham County,36 Winnacunnet Rd,,Hampton,New Hampshire,3842,NH,"36 WINNACUNNET RD, HAMPTON, NH 03842",42.93785700027802,-70.83667000007942,POINT (-70.83667000007942 42.93785700027802),"36,  Winnacunnet Road , Hampton, Rockingham County, New Hampshire, 3842, United States",1.0,0,0,0
425,78,,,Litchfield,Road,,Rockingham County,78 Litchfield Rd,,Londonderry,New Hampshire,3053,NH,"78 LITCHFIELD RD, LONDONDERRY, NH 03053",42.89700500028327,-71.40869099969262,POINT (-71.40869099969262 42.89700500028327),"78,  Litchfield Road , Londonderry, Rockingham County, New Hampshire, 3053, United States",1.0,0,0,0
508,94,,,Linden,Street,,Rockingham County,94 Linden St,,Exeter,New Hampshire,3833,NH,"94 LINDEN ST, EXETER, NH 03833",42.965759000031134,-70.9647440004041,POINT (-70.9647440004041 42.96575900003113),"94,  Linden Street , Exeter, Rockingham County, New Hampshire, 3833, United States",1.0,0,0,0
501,272,,,Lowell,Road,,Hillsborough County,272 Lowell Rd,,Hudson,New Hampshire,3051,NH,"272 LOWELL RD, HUDSON, NH 03051",42.72211400011684,-71.42089300035144,POINT (-71.42089300035144 42.72211400011684),"272,  Lowell Road , Hudson, Hillsborough County, New Hampshire, 3051, United States",1.0,0,0,0
32078,70,,,Airport,Road,,Merrimack County,70 Airport Rd,,Concord,New Hampshire,3301,NH,"70 Airport Rd, Concord, NH 03301",43.20524200025655,-71.51006699970466,POINT (-71.51006699970466 43.20524200025655),"70,  Airport Road , Concord, Merrimack County, New Hampshire, 3301, United States",4.0,1,0,0
641,433,,,Clough Hill,Road,,Merrimack County,433 Clough Hill Rd,,Loudon,New Hampshire,3307,NH,"433 CLOUGH HILL RD, LOUDON, NH 03307",43.33252499982882,-71.43064800005781,POINT (-71.43064800005781 43.33252499982882),"433,  Clough Hill Road , Loudon, Merrimack County, New Hampshire, 3307, United States",5.0,1,0,0
428,118,,,Church,Street,,Strafford County,118 Church St,,Barrington,New Hampshire,3825,NH,"118 CHURCH ST, BARRINGTON, NH 03825",43.22772300006745,-71.05284400005476,POINT (-71.05284400005476 43.22772300006745),"118,  Church Street , Barrington, Strafford County, New Hampshire, 3825, United States",3.0,0,0,0
612,100,,,Maple,Avenue,,Cheshire County,100 Maple Ave,,Keene,New Hampshire,3431,NH,"100 MAPLE AVE, KEENE, NH 03431",42.95325299994632,-72.31823100008685,POINT (-72.31823100008685 42.95325299994632),"100,  Maple Avenue , Keene, Cheshire County, New Hampshire, 3431, United States",4.0,1,0,0
409,71,,,Park,Street,,Rockingham County,71 Park St,,Exeter,New Hampshire,3833,NH,"71 PARK ST, EXETER, NH 03833",42.98456699987388,-70.9602729998951,POINT (-70.9602729998951 42.98456699987388),"71,  Park Street , Exeter, Rockingham County, New Hampshire, 3833, United States",1.0,0,0,0
620,505,,,South,Street,,Merrimack County,505 South St,,Bow,New Hampshire,3304,NH,"505 SOUTH ST, BOW, NH 03304",43.172958000157806,-71.53558400018461,POINT (-71.53558400018461 43.17295800015781),"505,  South Street , Bow, Merrimack County, New Hampshire, 3304, United States",4.0,1,0,0
440,159,,,Rochester Hill,Road,,Strafford County,159 Rochester Hill Rd,,Rochester,New Hampshire,3867,NH,"159 ROCHESTER HILL RD, ROCHESTER, NH 03867",43.28516199988528,-70.93893800021915,POINT (-70.93893800021915 43.28516199988528),"159,  Rochester Hill Road , Rochester, Strafford County, New Hampshire, 3867, United States",1.0,0,0,0
831,3,,,Forest,Court,,Passaic County,3 Forest Ct,,Passaic,New Jersey,7055,NJ,"3 FOREST CT, PASSAIC, NJ 07055",40.84890699997007,-74.14372499985171,POINT (-74.14372499985171 40.84890699997007),"3,  Forest Court , Passaic, Passaic County, New Jersey, 7055, United States",1.0,0,0,0
16505,2,,,Yesodei,Court,,Ocean County,2 Yesodei Court,,Lakewood,New Jersey,8701,NJ,"2 YESODEI COURT, LAKEWOOD, NJ 08701",40.06590795800003,-74.20200284399992,POINT (-74.20200284399992 40.06590795800003),"2,  Yesodei Court , Lakewood, Ocean County, New Jersey, 8701, United States",1.0,0,0,0
30258,1400,South,,Park,Avenue,,Union County,1400 S Park Ave,,Linden,New Jersey,7036,NJ,"1400 S Park Ave, Linden, NJ 07036",40.640085999909374,-74.22382499973904,POINT (-74.22382499973904 40.64008599990937),"1400,South  Park Avenue , Linden, Union County, New Jersey, 7036, United States",1.0,0,0,0
25732,150,West,,Burlington,Street,,Burlington County,150 West Burlington Street,,Bordentown,New Jersey,8505,NJ,"150 West Burlington Street, Bordentown, NJ 08505",40.14369169213524,-74.71209634568814,POINT (-74.71209634568814 40.14369169213524),"150,West  Burlington Street , Bordentown, Burlington County, New Jersey, 8505, United States",1.0,0,0,0
25837,30,,,Main,Street,,Gloucester County,30 Main Street,,Harrisonville,New Jersey,8039,NJ,"30 Main Street, Harrisonville, NJ 08039",39.68746480854139,-75.2666884872804,POINT (-75.2666884872804 39.68746480854139),"30,  Main Street , Harrisonville, Gloucester County, New Jersey, 8039, United States",2.0,0,0,0
