Full_Address,Place_type,source_centroid,source_lon,source_lat
"2035 Limestone Road, Wilmington, Delaware 19808",FDIC_Insured_Banks,POINT (-82.9864399999999 30.2925680000001),-82.98644,30.292568
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-83.4167319999999 30.469478),-83.416732,30.469478
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-81.4217099999999 30.3390210000001),-81.42171,30.339021
"815 Colorado Avenue, Stuart, Florida 34994",FDIC_Insured_Banks,POINT (-80.2529609999999 27.191715),-80.252961,27.191715
"303 Peachtreet Street, Northeast, Atlanta, Georgia 30308",FDIC_Insured_Banks,POINT (-82.45648199999989 27.9473040000001),-82.456482,27.947304
"1627 North Young Boulevard, Chiefland, Florida 32626",FDIC_Insured_Banks,POINT (-82.4438659999999 29.3879870000001),-82.443866,29.387987
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-81.0235679999999 29.2120360000001),-81.023568,29.212036
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-83.58330099999991 30.117958),-83.583301,30.117958
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-86.5700539999999 30.76032),-86.570054,30.76032
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-81.6262609999999 28.1066630000001),-81.626261,28.106663
"303 Peachtreet Street, Northeast, Atlanta, Georgia 30308",FDIC_Insured_Banks,POINT (-82.4402809999999 27.9602540000001),-82.440281,27.960254
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-82.57113099999989 27.4971790000001),-82.571131,27.497179
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-87.2173359999999 30.412738),-87.217336,30.412738
"303 Peachtreet Street, Northeast, Atlanta, Georgia 30308",FDIC_Insured_Banks,POINT (-84.2478719999999 30.5096920000001),-84.247872,30.509692
"141 South Wayne Street, Milledgeville, Georgia 31061",FDIC_Insured_Banks,POINT (-83.22681299999989 33.0800630000001),-83.226813,33.080063
"133 North Main Street, Madison, Georgia 30650",FDIC_Insured_Banks,POINT (-83.4670829999999 33.5966020000001),-83.467083,33.596602
"22 South Tallahassee Street, Hazlehurst, Georgia 31539",FDIC_Insured_Banks,POINT (-82.5992819999999 31.8653820000001),-82.599282,31.865382
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-84.3815009999999 34.340245),-84.381501,34.340245
"245 Ne Railroad St., Alapaha, Georgia 31622",FDIC_Insured_Banks,POINT (-83.22336199999999 31.3815510000001),-83.223362,31.381551
"685 Griffin Street, Zebulon, Georgia 30295",FDIC_Insured_Banks,POINT (-83.9383799999999 33.0341720000001),-83.93838,33.034172
"4 N Carter St, Lakeland, Georgia 31635",FDIC_Insured_Banks,POINT (-83.2511869999999 31.2064440000001),-83.251187,31.206444
"201 First Street S. E., Moultrie, Georgia 31768",FDIC_Insured_Banks,POINT (-83.8353789999999 31.5294690000001),-83.835379,31.529469
"250 West Hancock Street, Milledgeville, Georgia 31061",FDIC_Insured_Banks,POINT (-83.2297659999999 33.0806930000001),-83.229766,33.080693
"177 Highway 515 East, Blairsville, Georgia 30512",FDIC_Insured_Banks,POINT (-84.5839269999999 33.5662580000001),-84.583927,33.566258
"685 Griffin Street, Zebulon, Georgia 30295",FDIC_Insured_Banks,POINT (-84.3262349999999 32.8896900000001),-84.326235,32.88969
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-82.7381519999999 33.736788),-82.738152,33.736788
"100 North Tryon St, Charlotte, North Carolina 28202",FDIC_Insured_Banks,POINT (-83.8235479999999 34.3014360000001),-83.823548,34.301436
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-83.4772489999999 33.5727760000001),-83.477249,33.572776
"318 South Hill Street, Griffin, Georgia 30224",FDIC_Insured_Banks,POINT (-84.2638789999999 33.2450890000001),-84.263879,33.245089
"26 West Monroe Street, Talbotton, Georgia 31827",FDIC_Insured_Banks,POINT (-84.5405809999999 32.6776380000001),-84.540581,32.677638
"200 W 2nd St, Winston Salem, North Carolina 27101",FDIC_Insured_Banks,POINT (-84.79012899999989 34.1666970000001),-84.790129,34.166697
"685 Griffin Street, Zebulon, Georgia 30295",FDIC_Insured_Banks,POINT (-84.3421499999999 33.1074370000001),-84.34215,33.107437
"884 Elbert Street, Elberton, Georgia 30635",FDIC_Insured_Banks,POINT (-83.84343200000001 33.6022170000001),-83.843432,33.602217
"102 N. Church Street, Crawford, Georgia 30630",FDIC_Insured_Banks,POINT (-83.1581059999999 33.8842060000001),-83.158106,33.884206
"200 W 2nd St, Winston Salem, North Carolina 27101",FDIC_Insured_Banks,POINT (-83.8855149999999 32.5553850000001),-83.885515,32.555385
"76 E. Main Street, Woodland, Georgia 31836",FDIC_Insured_Banks,POINT (-84.5591079999999 32.7880960000001),-84.559108,32.788096
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-84.3630499999999 34.023058),-84.36305,34.023058
"303 Peachtreet Street, Northeast, Atlanta, Georgia 30308",FDIC_Insured_Banks,POINT (-85.0452709999999 33.996538),-85.045271,33.996538
"6 College Street, Mcrae, Georgia 31055",FDIC_Insured_Banks,POINT (-82.9006849999999 32.0666880000001),-82.900685,32.066688
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-84.93214999999989 33.7318670000001),-84.93215,33.731867
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-85.09841899999989 33.2794600000001),-85.098419,33.27946
"1900 Fifth Avenue North, Birmingham, Alabama 35203",FDIC_Insured_Banks,POINT (-82.8657199999999 34.109336),-82.86572,34.109336
"1111 Bay Avenue, Columbus, Georgia 31901",FDIC_Insured_Banks,POINT (-83.9785099999999 30.8380210000001),-83.97851,30.838021
"217 North Monroe Street, Tallahassee, Florida 32301",FDIC_Insured_Banks,POINT (-85.18357399999989 32.8793470000001),-85.183574,32.879347
"300 South Main Street, Hinesville, Georgia 31313",FDIC_Insured_Banks,POINT (-81.59662999999991 31.8457450000001),-81.59663,31.845745
"113 East Broad Street, Louisville, Georgia 30434",FDIC_Insured_Banks,POINT (-82.4046499999999 32.8652760000001),-82.40465,32.865276
"123 North Jefferson Street, Converse, Indiana 46919",FDIC_Insured_Banks,POINT (-85.6507269999999 40.4154990000001),-85.650727,40.415499
"101 West Montgomery Street, Francesville, Indiana 47946",FDIC_Insured_Banks,POINT (-86.88224099999989 40.9852180000001),-86.882241,40.985218
"200 East Jackson Street, Muncie, Indiana 47305",FDIC_Insured_Banks,POINT (-85.53692100000001 40.0625170000001),-85.536921,40.062517
"127 Public Square, Cleveland, Ohio 44114",FDIC_Insured_Banks,POINT (-86.4286169999999 39.4260810000001),-86.428617,39.426081
"18 East Washington Street, Roachdale, Indiana 46172",FDIC_Insured_Banks,POINT (-86.8015519999999 39.852017),-86.801552,39.852017
"202 East Center Street, Warsaw, Indiana 46581",FDIC_Insured_Banks,POINT (-85.58761799999991 41.4639490000001),-85.587618,41.463949
"1620 Dodge Street, Omaha, Nebraska 68197",FDIC_Insured_Banks,POINT (-95.7447479999999 41.0458090000001),-95.744748,41.045809
"210 South Main, Elkader, Iowa 52043",FDIC_Insured_Banks,POINT (-91.56934099999989 43.0845770000001),-91.569341,43.084577
"121 S Marion Ave, Washington, Iowa 52353",FDIC_Insured_Banks,POINT (-91.69305799999999 41.298662),-91.693058,41.298662
"1307 East 7th Street, Atlantic, Iowa 50022",FDIC_Insured_Banks,POINT (-94.2012919999999 41.9345480000001),-94.201292,41.934548
"1341 Pilot Grove Rd, Pilot Grove, Iowa 52648",FDIC_Insured_Banks,POINT (-91.31352799999991 40.631241),-91.313528,40.631241
"3535 23rd Avenue, Moline, Illinois 61265",FDIC_Insured_Banks,POINT (-90.7214179999999 41.4561400000001),-90.721418,41.45614
"110 W South St, Spicer, Minnesota 56288",FDIC_Insured_Banks,POINT (-95.8680961299999 42.3882524400001),-95.86809613,42.38825244
"102 North Main Street, Elkader, Iowa 52043",FDIC_Insured_Banks,POINT (-91.18097632999989 43.01761715),-91.18097633,43.01761715
"1202 2nd Street, Perry, Iowa 50220",FDIC_Insured_Banks,POINT (-94.0207319999999 41.6182240000001),-94.020732,41.618224
"1001 Main St, Manson, Iowa 50563",FDIC_Insured_Banks,POINT (-94.53422499999991 42.5294280000001),-94.534225,42.529428
"100 South Main, Crawfordsville, Iowa 52621",FDIC_Insured_Banks,POINT (-91.5387249999999 41.2138600000001),-91.538725,41.21386
"505 East Main Street, Panora, Iowa 50216",FDIC_Insured_Banks,POINT (-94.3581219999999 41.6917780000001),-94.358122,41.691778
"1230 Valley Drive, Rock Valley, Iowa 51247",FDIC_Insured_Banks,POINT (-96.4852889999999 42.9946),-96.485289,42.9946
"525 North Main Street, Sioux Center, Iowa 51250",FDIC_Insured_Banks,POINT (-96.17569999999991 43.082879),-96.1757,43.082879
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-94.37634199999989 42.0162780000001),-94.376342,42.016278
"1812 Highway Boulevard, Spencer, Iowa 51301",FDIC_Insured_Banks,POINT (-95.14736599999991 43.1571400000001),-95.147366,43.15714
"627 North Adams Street, Carroll, Iowa 51401",FDIC_Insured_Banks,POINT (-94.86836199999991 42.0668360000001),-94.868362,42.066836
"126 South Market Street, Solon, Iowa 52333",FDIC_Insured_Banks,POINT (-91.49294499999991 41.8065210000001),-91.492945,41.806521
"233 North Main Street, Pocahontas, Iowa 50574",FDIC_Insured_Banks,POINT (-94.66892899999991 42.7352200000001),-94.668929,42.73522
"109 West 2nd Street, Sutherland, Iowa 51058",FDIC_Insured_Banks,POINT (-95.49771199999989 42.973843),-95.497712,42.973843
"601 Pierce Street, Sioux City, Iowa 51102",FDIC_Insured_Banks,POINT (-95.7932789999999 42.1694390000001),-95.793279,42.169439
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-95.0129849999999 41.4047600000001),-95.012985,41.40476
"401 First Street, Westside, Iowa 51467",FDIC_Insured_Banks,POINT (-94.8695699999999 42.060685),-94.86957,42.060685
"103 S Main St, Templeton, Iowa 51463",FDIC_Insured_Banks,POINT (-95.0651679999999 41.9093310000001),-95.065168,41.909331
"235 Sixth Avenue, South, Clinton, Iowa 52732",FDIC_Insured_Banks,POINT (-90.39408999999991 42.0525240000001),-90.39409,42.052524
"817 North Ankeny Boulevard, Ankeny, Iowa 50023",FDIC_Insured_Banks,POINT (-93.46296199999991 41.6440230000001),-93.462962,41.644023
"370 Main Street, Lansing, Iowa 52151",FDIC_Insured_Banks,POINT (-91.8082289999999 42.963129),-91.808229,42.963129
"1202 2nd Street, Perry, Iowa 50220",FDIC_Insured_Banks,POINT (-94.1051749999999 41.83977),-94.105175,41.83977
"101 N. Phillips Avenue, Sioux Falls, South Dakota 57104",FDIC_Insured_Banks,POINT (-91.6072939999999 42.0332070000001),-91.607294,42.033207
"4800 George Mills Civic Parkway, Suite 100, West Des Moines, Iowa 50265",FDIC_Insured_Banks,POINT (-93.76897099999989 41.5591030000001),-93.768971,41.559103
"121 S Marion Ave, Washington, Iowa 52353",FDIC_Insured_Banks,POINT (-91.3605739999999 41.2807470000001),-91.360574,41.280747
"401 Main Street, Mapleton, Iowa 51034",FDIC_Insured_Banks,POINT (-95.79296099999991 42.1659270000001),-95.792961,42.165927
"2206 South Center Street, Marshalltown, Iowa 50158",FDIC_Insured_Banks,POINT (-92.9123949999999 42.0193820000001),-92.912395,42.019382
"100 Harvest Drive, Luana, Iowa 52156",FDIC_Insured_Banks,POINT (-91.4456509999999 43.0529330000001),-91.445651,43.052933
"223 Chestnut Street, Atlantic, Iowa 50022",FDIC_Insured_Banks,POINT (-95.01298800000001 41.4082710000001),-95.012988,41.408271
"201 West Main Street, Waukon, Iowa 52172",FDIC_Insured_Banks,POINT (-91.47899199999991 43.2693070000001),-91.478992,43.269307
"260 Main Street, Melvin, Iowa 51350",FDIC_Insured_Banks,POINT (-95.60846099999991 43.287224),-95.608461,43.287224
"1040 East Main Street, Louisville, Kentucky 40206",FDIC_Insured_Banks,POINT (-85.73144499999999 38.2538830000001),-85.731445,38.253883
"411 New Brodhead Road, Mount Vernon, Kentucky 40456",FDIC_Insured_Banks,POINT (-84.34938099999989 37.3509010000001),-84.349381,37.350901
"304 West Main Street, Danville, Kentucky 40422",FDIC_Insured_Banks,POINT (-84.84332499999989 37.762006),-84.843325,37.762006
"456 Commonwealth Avenue, Erlanger, Kentucky 41018",FDIC_Insured_Banks,POINT (-84.5968559999999 38.8451350000001),-84.596856,38.845135
"200 W 2nd St, Winston Salem, North Carolina 27101",FDIC_Insured_Banks,POINT (-87.2582289999999 37.5363530000001),-87.258229,37.536353
"101 East Pike Street, Cynthiana, Kentucky 41031",FDIC_Insured_Banks,POINT (-84.2974429999999 38.389053),-84.297443,38.389053
"2500 Broadway, Catlettsburg, Kentucky 41129",FDIC_Insured_Banks,POINT (-82.59853199999991 38.4176670000001),-82.598532,38.417667
"200 W 2nd St, Winston Salem, North Carolina 27101",FDIC_Insured_Banks,POINT (-86.8879339999999 36.8451920000001),-86.887934,36.845192
"346 North Mayo Trail, Pikeville, Kentucky 41501",FDIC_Insured_Banks,POINT (-83.7137969999999 36.6073180000001),-83.713797,36.607318
"201 N Main Street, Morgantown, Kentucky 42261",FDIC_Insured_Banks,POINT (-86.6830249999999 37.2261670000001),-86.683025,37.226167
"201 N. Third Street, Bardstown, Kentucky 40004",FDIC_Insured_Banks,POINT (-85.59349899999999 37.6582310000001),-85.593499,37.658231
"2001 Pleasant Ridge Drive, Lexington, Kentucky 40505",FDIC_Insured_Banks,POINT (-82.82652999999991 37.1182250000001),-82.82653,37.118225
